category,word
政治相关,国家领导人
政治相关,暴力
金融投资诱导,投资稳赚
金融投资诱导,高收益无风险
色情低俗,激情视频
色情低俗,暗示性内容
夸大宣传,必涨
夸大宣传,稳赚计划
医疗健康虚假,神药
医疗健康虚假,包治百病
诱导转移联系,VX
诱导转移联系,扫二维码联系
赌博博彩相关,赌球
赌博博彩相关,博彩预测
其他高危词,黑产
其他高危词,个人隐私泄露
